id,name,type,age_min,age_max,coverage,critical_illness,maternity,accident,co_pay,monthly_premium
1,HealthShield Basic,Health,18,65,500000,No,No,No,20,850
2,HealthShield Premium,Health,18,70,1000000,Yes,Yes,Yes,15,1500
3,FamilyCare Plus,Health,25,60,750000,Yes,Yes,Yes,10,1200
4,YoungPro Health,Health,18,35,600000,No,No,Yes,25,650
5,SeniorCare Elite,Health,50,80,800000,Yes,No,Yes,20,1800
6,CriticalShield,Critical Illness,18,65,1500000,Yes,No,No,0,800
7,AccidentGuard Pro,Accident,18,70,300000,No,No,Yes,30,400
8,MaternityBliss,Maternity,22,40,200000,No,Yes,No,10,600
9,ComprehensiveCare,Health,18,75,2000000,Yes,Yes,Yes,5,2500
10,EconomyHealth,Health,18,60,300000,No,No,No,40,450
11,ExecutiveHealth,Health,30,65,1500000,Yes,Yes,Yes,10,2200
12,StudentHealth,Health,18,25,400000,No,No,Yes,30,350
13,WomenCare Special,Health,18,65,800000,Yes,Yes,No,15,1100
14,HeartShield,Critical Illness,25,70,1000000,Yes,No,No,0,950
15,CancerCare Plus,Critical Illness,30,75,2000000,Yes,No,No,0,1300
16,FamilyAccident,Accident,18,65,500000,No,No,Yes,20,550
17,TravelSafe Health,Health,18,70,600000,No,No,Yes,25,750
18,PremiumFamily,Health,25,65,1200000,Yes,Yes,Yes,12,1800
19,BasicAccident,Accident,18,60,200000,No,No,Yes,35,250
20,EliteHealth Pro,Health,25,70,3000000,Yes,Yes,Yes,8,3200
21,SeniorAccident,Accident,50,80,400000,No,No,Yes,25,600
22,QuickCare Health,Health,18,50,500000,No,No,No,30,550
23,CriticalPlus Elite,Critical Illness,18,65,2500000,Yes,No,No,0,1600
24,MotherCare Premium,Maternity,20,42,350000,No,Yes,No,5,800
25,UltraHealth,Health,18,75,5000000,Yes,Yes,Yes,5,4500
26,DiabeteCare Special,Health,30,70,1800000,Yes,No,Yes,12,1950
27,FamilyFirst Health,Health,18,80,2500000,Yes,Yes,Yes,8,2800
28,YouthAdvantage,Health,16,30,650000,No,No,Yes,22,480
29,SeniorSecure Plus,Health,55,85,1200000,Yes,No,Yes,18,2100
30,CorporateHealth,Health,22,65,3500000,Yes,Yes,Yes,6,3800
31,BudgetCare Basic,Health,18,60,250000,No,No,No,45,320
32,PlatinumHealth Elite,Health,25,75,7500000,Yes,Yes,Yes,3,5200
33,HeartCare Specialist,Critical Illness,35,80,3000000,Yes,No,No,0,1800
34,CancerShield Advanced,Critical Illness,25,75,4000000,Yes,No,No,0,2200
35,StrokeGuard Pro,Critical Illness,40,85,2500000,Yes,No,No,0,1650
36,AccidentPro Max,Accident,18,75,800000,No,No,Yes,15,650
37,TwoWheelerAccident,Accident,18,65,150000,No,No,Yes,40,180
38,SportsAccident Cover,Accident,16,45,400000,No,No,Yes,25,380
39,PregnancyCare Premium,Maternity,20,45,500000,No,Yes,No,8,950
40,NewMother Support,Maternity,18,40,300000,No,Yes,No,12,720
41,FertilityCare Plus,Maternity,22,38,250000,No,Yes,No,15,650
42,MultiGeneration Plan,Health,0,100,1500000,Yes,Yes,Yes,10,2400
43,StartupEmployee Health,Health,22,45,900000,Yes,No,Yes,20,980
44,FreelancerCare,Health,18,65,700000,No,No,Yes,28,720
45,RetirementHealth,Health,60,90,1100000,Yes,No,Yes,22,2600
46,NRIHealth Global,Health,18,80,5000000,Yes,Yes,Yes,5,4200
47,RuralHealth Basic,Health,18,70,350000,No,No,No,35,280
48,UrbanProfessional,Health,25,60,2200000,Yes,Yes,Yes,12,2100
49,WomenSpecial Care,Health,18,65,1300000,Yes,Yes,No,14,1350
50,MenHealth Focus,Health,18,65,1100000,Yes,No,Yes,16,1050
51,TeenHealth Starter,Health,13,19,300000,No,No,Yes,35,250
52,CollegeStudent Care,Health,17,25,450000,No,No,Yes,30,320
53,InternHealth Basic,Health,20,26,550000,No,No,Yes,32,380
54,GraduateHealth Pro,Health,22,28,700000,Yes,No,Yes,25,520
55,NewJobee Health,Health,22,30,800000,Yes,No,Yes,20,680
56,CareerStarter Plus,Health,24,32,950000,Yes,Yes,Yes,18,850
57,MiddleClass Family,Health,25,55,1300000,Yes,Yes,Yes,15,1450
58,UpperMiddle Elite,Health,30,60,2800000,Yes,Yes,Yes,10,2650
59,WealthyFamily Premium,Health,35,70,5500000,Yes,Yes,Yes,5,4800
60,LuxuryHealth Diamond,Health,40,80,10000000,Yes,Yes,Yes,3,8500
61,SuperRich Platinum,Health,30,75,15000000,Yes,Yes,Yes,2,12000
62,SingleMother Support,Health,22,45,900000,Yes,Yes,No,18,980
